OBJECTID,WARD,LOCATION,COUNT_,INSTALLYEAR,X,Y
101,4,1500 Blk. Of Roxanna Street ,2,FY-09,396953.51756313,146888.41811774
102,4,Unit blk. Of Madison  NW,2,FY-09,398977.45,143402.69
103,5,2200 blk S St.  Bewteen 22nd & 24th St NE,2,FY-09,402326.89504011,138468.28150193
104,5,1200-1300 blk. Kearney Street NE BET. 12th # 13th ,2,FY-09,400894.48758278,140304.72652763
105,5,"Girard st., N.E. Bet. North Capitol st. and Franklin st.",2,FY-09,399503.15001349,139825.25999919
106,5,100 Blk Adams St btw 1st & 2nd St  NW ,2,FY-09,398710.23999676,139150.99001456
107,5,1000 Douglas street NE bet. 10th and 12th street,2,FY-09,400749.91439865,139515.4077109
108,5,2400 Kalarama road NW,2,FY-09,395359.06,138924.19
109,5,2200 Kalarama road NW,2,FY-09,395679.93,138872.93
110,5,1200-1300 blk. Kearney Street NE BET. 12TH # 13th ,2,FY-09,400894.48758278,140304.72652763
111,5,Lawrence Street NE  bet. 15th and 16th Street,2,FY-09,401505.21999935,140454.09999977
112,5,Lawrence Street NE bet. 13th and 14th Street,2,FY-09,401189.05001506,140433.89999975
113,5,10th Street NE bet. Girard & Irving St (2900-3000 Blk),2,FY-09,400655.85001456,140069.63001542
114,7,100 Blk 58th St SE  ,2,FY-09,407163.8196846,135613.14201128
115,7,"4700 Blk Blaine St NE,",2,FY-09,405692.42995524,136006.96527565
116,7,"400 Blk 57th St  NE,  ",2,FY-09,407013.89814846,136378.28370799
117,7,5200 Blk Ames St NE ,2,FY-09,406332.36473983,135883.94757953
118,7,5400 D St. SE,2,FY-09,406609.42,135043.9
119,7,1700 40th street SE,2,FY-09,404638.28,133082.24
120,7,200 blk. of 55th Street NE ,2,FY-09,406722.19581219,136027.58354766
121,8,4300 blk. Of  Halley Terr.   SE,3,FY-09,399420.79929342,128792.07323695
122,5,"1800,1900 & 2000 Capitol Ave NE",4,FY-09,401137.41,138159.3
123,5,1900-2100 Savannah Terr. Se,4,FY-09,402093.9,131215.06
124,5,"Unit Blk of Crittenden and Unit Blk of Buchanan, NE",4,FY-09,400657.94,142171.3
125,7,Unit blk 54th St. SE,4,FY-09,406635.05891611,135586.61743526
126,7,5300 & 5400 Blk Blaine St NE,4,FY-09,406537.33,136014.15
127,7,Unit  55th St. SE,4,FY-09,406768.19,135487.56
128,7,700-800 hilltop terrace SE,4,FY-09,405012.67,134726.03
129,7,"3000 -3100 blocks of O Street, SE",4,FY-09,403234.07,133910.12
130,7,700-800 Hilltop terrace SE,4,FY-09,405012.67,134726.03
131,7,"3100 & 3000 blocks of Q Street, SE  ",3,FY-09,403275.12,133712.72
132,7,"3000 - 3100 blocks of M Street, SE",3,FY-09,403087.11,134285.64
133,7,"5300 Blk. of Ames Street, NE",3,FY-09,406550.76013203,135883.72441153
134,7,5000-5100 blk. Of  Hayes Street  NE,3,FY-09,406059.05,136949.83
135,7,"5300 Blk. of Ames Street, NE",3,FY-09,406550.76013203,135883.72441153
136,7,3200 blk. Of  E Street  SE,3,FY-09,403415.76444912,135000.92924271
137,7,3100 Blk M Place SE,3,FY-09,403251.68246497,134270.76553003
138,7,1000 Blk 45Th St NE,3,FY-09,405417.24163498,137333.32518088
139,7,4600 Hillside Terr. SE,3,FY-09,405736.97,134321.52
140,7,1100 Blk 45 Place St NE,3,FY-09,405455.38793902,137517.83609305
141,8,6th St from Atlantic to Galveston St SE,3,FY-09,400027.11001398,128460.09000464
142,8,900-1200 Blk Mississippi Ave SE,4,FY-09,400692.6,130157.38
143,8,300 Raleigh Street SE,4,FY-09,399839.11,130707.98
144,3,3400-3600 Newark Street  NW,5,FY-09,394214.16,140724.52
145,7,3500 Blk texas Ave SE ,5,FY-09,404040.1482897,133462.68904928
146,7,1600 - 1700 38th street SE,5,FY-09,404220.02000187,133579.55000939
147,8,3200 block Pope Street SE,5,FY-09,403547.85772925,133942.63240973
148,8,Brandywine Street SE,5,FY-09,399950.43001391,129143.86002128
149,5,1100 Blk Galloway St NE btw S. Dakota & Sargeant Rd,6,FY-09,401005.85001489,142815.24000196
150,7,3300-3700- Carpenter st SE,6,FY-09,403787.57,133637.42
151,8,1600-4200 Blks Fort Dupont St SE,7,FY-09,404864.04000247,133432.63999326
152,7,4000-4300 Anacostia Ave,10,FY-09,404935.49,137653.1
153,1,Newton st Nw 1400 blk                                   (2)  12Ft,2,FY-07,397161.73001132,140443.45999976
154,1,3600 Blk 11th ST NW,2,FY-07,397529.54876366,140820.54576011
155,1,3500 Blk 10th ST NW,1,FY-07,397628.83013975,140648.85590395
156,1,600 Blk Quebec PL NW,1,FY-07,398244.35116432,140953.11152024
157,1,700 Blk Faimont ST NW,1,FY-07,397904.98534001,139683.60134306
158,2,Wallach Pl NW 1300 blk                    (2) 12Ft,2,FY-07,397904.98534001,139683.60134306
159,3,"Upton St & 38th st NW ( 2 cross walks , (2) 12Ft)",2,FY-07,393532.31000795,141594.24000083
160,3,46th bet Fessenden st NW  (3) 12 ft,3,FY-07,392146.37999067,142981.61001812
161,4,Aspen st NW 700 & 800 blk             (2)  12Ft,2,FY-07,397899.5,144917.22
162,4,Farragut Pl NW unit blk    (2) 12Ft,2,FY-07,399076.1700131,142717.93001787
163,4,900 Blk Hamilton ST NW   (2),2,FY-07,397694.41177181,142781.11974593
164,4,4000 Blk 8th ST Bet Taylor ST & Randolph ST,1,FY-07,397989.53001209,141203.78000047
165,5,7th st NE bet Taylor & Randulph st         (2)  12Ft,2,FY-07,400383.15775831,141346.5378246
166,5,2400 Blk 14th ST Bet Downing & Saratoga AV NE (2),2,FY-07,401279.60617514,139330.92332673
167,5,Lincoln Rd & T ST NE (2),2,FY-07,399296.8599973,138468.09001393
168,6,Oklahoma ave Ne 500 blk                   (3) 12Ft,3,FY-07,402507.02,136489.79
169,6,1500 Blk Gayles ST NE  (1)   22ft,1,FY-07,401472.92,136733.77
170,7,32nd st SE bet. Alabama & Park Dr SE       (3) 12Ft,3,FY-07,403343.07001706,133090.91000894
171,7,34th st SE 2300 Blk         (2) 12Ft,2,FY-07,403710.04,132635.05
172,7,Bangor st SE 3400 blk           (1) 22Ft,1,FY-07,403702.69,132536.89
173,7,E st SE bet. Benning rd & Falls Ter   (2)  22Ft,2,FY-07,405515.66000307,135061.51999477
174,7,48th pl NE 500 blk   (4)  12Ft,4,FY-07,405700.18,136400.32
175,7,Jay st NE 4900 blk                                    (2)  12Ft,2,FY-07,405944.34,137094.07
176,7,54th St between C&D st   NE         (2) 22Ft,2,FY-07,406576.72000406,135025.91001074
177,7,57th Pl NE 200 blk         (3)  12Ft,3,FY-07,407041.32,135913.95
178,7,3600 Blk Suitland Rd SE (3),3,FY-07,403894.23779357,132785.33288866
179,7,3700 Blk Suitland Rd SE (2),2,FY-07,404087.16051375,132728.8603126
180,7,5000 Blk Hanna PL SE (2),2,FY-07,405989.80189151,134636.54469837
181,7,4100 & 4200 Blk Hayes ST NE (6),6,FY-07,404839.13,136857.92
182,8,34th st SE 2300 blk        (5)  12Ft,5,FY-07,403710.04,132635.05
183,8,12th Pl SE 2600 blk  (1)  22Ft,1,FY-07,401278.01001514,131483.22002345
184,8,600 blk Atlantic st ( 3) 12ft,3,FY-07,400297.84047823,129240.89330137
185,8,400 blk-600blk Lebuam st. SE (6) 12ft,6,FY-07,399874.28,131207.37
186,8,500 blk Labaum st se (3) 12ft,3,FY-07,400183.09462212,131022.19496702
187,8,600 blk  Galveston PL se(2) 12ft,2,FY-07,400072.4,128540.88
